hairDensity,Treatment
83.31084642,Control
187.9271205,Control
144.0483242,Control
22.8438067,Control
76.43314382,Control
62.62023764,Control
114.4299165,Control
22.4030748,Control
115.7833447,Control
66.74875251,Control
17.40310969,Control
753.0469487,Control
381.2896554,Control
136.9219501,Control
114.6179065,Control
1127.137058,Control
72.17191931,Control
113.8328868,Control
268.0529184,Control
36.60407485,Control
85.13254622,Control
101.3617044,Control
433.3375517,Control
172.5659239,Control
160.958735,Control
204.132229,Control
67.76476787,Control
143.8774582,Control
30.88973084,Control
38.07640744,Control
294.473273,Control
86.79624213,Control
76.19754523,Control
331.7629926,Control
353.2519219,Control
45.32831455,Control
500.5074479,Control
816.787813,Control
346.6287081,Control
147.04622,Control
5.655602784,A
9.668641318,A
5.244557895,A
8.997730985,A
5.798199604,A
4.790886902,A
23.74879333,A
15.02740693,A
2.654318624,A
4.216791076,A
10.91023114,A
42.16852631,A
9.94910566,A
5.293070068,A
1.099261338,A
14.48148668,A
6.473151907,A
3.882454847,A
1.233339133,A
4.17623475,A
0.504929421,A
0.871916073,A
1.20926835,A
41.66831565,A
9.930913694,A
8.056491752,A
8.812272938,A
1.654532783,A
4.496750602,A
2.463099832,A
19.03008073,A
5.22387252,A
15.79032432,A
45.96067146,A
3.458304575,A
20.50647436,A
13.85176056,A
4.200385514,A
5.255683378,A
0.771643211,A
166.0058998,B
184.1116283,B
133.3967513,B
882.2652207,B
2372.487984,B
777.8063948,B
531.6318718,B
1212.492086,B
108.7889359,B
1065.847406,B
1350.266523,B
620.7445253,B
1469.178729,B
1778.180679,B
139.4774494,B
160.3674387,B
302.7112327,B
633.6518589,B
1410.206441,B
595.9639987,B
456.6827883,B
37.72949137,B
765.5035751,B
321.8280846,B
62.45271039,B
103.2924315,B
839.8649102,B
118.2191569,B
296.6204603,B
119.5819941,B
1731.270594,B
629.0683244,B
77.72948234,B
768.9187796,B
85.61158441,B
501.4616257,B
291.4463294,B
373.2642495,B
2413.453633,B
727.3157316,B
